FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	cluster_id
FBgn0037644	CG11964		CC_component	4
FBgn0037660	beag	beag	BP_function;CC_component	1
FBgn0037707	RnpS1	RNA-binding protein S1	BP_function	4
FBgn0037716	Son	Son RNA binding protein	BP_function	1
FBgn0037737	Pnn	Pinin	BP_function;CC_component	5
FBgn0037882	CG17187		BP_function;CC_component	5
FBgn0038046	CG5641		BP_function;CC_component	4
FBgn0038344	obe	obelus	BP_function;CC_component	4
FBgn0038345	maca	maca	BP_function	1
FBgn0038454	Gpkow	G-patch domain and KOW motifs	BP_function;CC_component	5
FBgn0038590	CG12320		CC_component	4
FBgn0038666	Smu1	Smu1 spliceosomal factor	BP_function;CC_component	4
FBgn0038704	Aptx	aprataxin	BP_function;CC_component	1
FBgn0038772	mdlc	midlife crisis	BP_function;CC_component	3
FBgn0038826	Syp	Syncrip	BP_function;CC_component	1
FBgn0038887	CG7907		BP_function	1
FBgn0038927	CG6015		BP_function;CC_component	4
FBgn0039117	tst	twister	BP_function	4
FBgn0039124	tbrd-1	testis-specifically expressed bromodomain containing protein-1	BP_function;CC_component	1
FBgn0039139	Mettl3	Methyltransferase like 3	BP_function	1
FBgn0039182	Rrp5	Ribosomal RNA Processing 5	BP_function	3
FBgn0039210	CG13625		BP_function;CC_component	4
FBgn0039229	Saf-B	Scaffold attachment factor B	BP_function	4
FBgn0039270	PQBP1	Poly-glutamine tract binding protein 1	BP_function;CC_component	4
FBgn0039271	CG11839		CC_component	5
FBgn0039488	Nkap	NFKB activating protein	BP_function;CC_component	4
FBgn0039558	BCAS2	BCAS2	BP_function;CC_component	4
FBgn0039566	CG4849		BP_function;CC_component	4
FBgn0039581	Moca-cyp	Moca-cyp	BP_function;CC_component	4
FBgn0039600	Prp39	pre-mRNA processing factor 39	BP_function;CC_component	4
FBgn0039626	Slu7	Slu7	BP_function;CC_component	4
FBgn0039732	CG15525		CC_component	5
FBgn0039870	CG1896		BP_function	4
FBgn0039920	CG11360		BP_function	5
FBgn0039977	Spf30	Splicing factor 30	BP_function;CC_component	5
FBgn0040235	c12.1	c12.1	BP_function;CC_component	4
FBgn0040534	Sf3b5	Splicing factor 3b subunit 5	BP_function;CC_component	4
FBgn0043455	CG5986		BP_function	5
FBgn0045862	btz	barentsz	BP_function	4
FBgn0050122	CG30122		BP_function;CC_component	4
FBgn0050342	Prp38	pre-mRNA processing factor 38	BP_function;CC_component	4
FBgn0051184	LSm3	Like Sm 3	BP_function;CC_component	4
FBgn0051368	salsa	salsa	BP_function;CC_component	4
FBgn0051922	CG31922		BP_function	5
FBgn0052062	Rbfox1	RNA-binding Fox protein 1	BP_function	5
FBgn0067622	LSm-4	Like Sm protein 4	BP_function	5
FBgn0082831	pps	protein partner of snf	BP_function	1
FBgn0085342	CG34313		BP_function	5
FBgn0085383	CG34354		BP_function	5
FBgn0085391	trv	trivet	BP_function	5
FBgn0086444	l(2)37Cb	lethal (2) 37Cb	BP_function;CC_component	4
FBgn0086683	Spf45	Spf45	BP_function;CC_component	5
FBgn0086707	ncm	nucampholin	BP_function;CC_component	5
FBgn0086895	pea	peanuts	BP_function;CC_component	4
FBgn0259139	glo	glorund	BP_function	4
FBgn0260944	Rbp1	RNA-binding protein 1	BP_function	4
FBgn0261068	LSm7	Like Sm 7	BP_function;CC_component	3
FBgn0261119	Prp19	Pre-RNA processing factor 19	BP_function;CC_component	4
